block_number,category,contract_address,contract_version,exchange_name,liquidity,liquidity_delta,pool_balance,quantity,sender_address,tick_lower,tick_upper,timestamp,transaction_hash
16308196,withdraw,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,v3,uniswap,39974582212968359597,0,58662309659663,-8200752673573,0x065e3DbaFCb2C26A978720f9eB4Bce6aD9D644a1,205450,205460,2023-01-01T00:01:23Z,0x1d58dd9000c4451a135ef1b4e0c74e6faa874b5f9449861c86b46942d3a90bff
16308196,withdraw,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,v3,uniswap,39974582212968359597,0,100211683677104807459169,-13345732776118372393255,0x065e3DbaFCb2C26A978720f9eB4Bce6aD9D644a1,205450,205460,2023-01-01T00:01:23Z,0x1d58dd9000c4451a135ef1b4e0c74e6faa874b5f9449861c86b46942d3a90bff
16308196,withdraw,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,v3,uniswap,39974582212968359597,-1397521249740547309340,58662309659663,-8200752673573,0x065e3DbaFCb2C26A978720f9eB4Bce6aD9D644a1,205450,205460,2023-01-01T00:01:23Z,0x1d58dd9000c4451a135ef1b4e0c74e6faa874b5f9449861c86b46942d3a90bff
16308196,withdraw,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,v3,uniswap,39974582212968359597,-1397521249740547309340,100211683677104807459169,-13345708597715410476822,0x065e3DbaFCb2C26A978720f9eB4Bce6aD9D644a1,205450,205460,2023-01-01T00:01:23Z,0x1d58dd9000c4451a135ef1b4e0c74e6faa874b5f9449861c86b46942d3a90bff
16308196,deposit,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,v3,uniswap,39974582212968359597,1397521249740547309340,100211683677104807459169,13297375970194539525447,0x065e3DbaFCb2C26A978720f9eB4Bce6aD9D644a1,205450,205460,2023-01-01T00:01:23Z,0xd206569ae3c6d66f294304fd1e8391731febc20b4c2d41a0c46fe997d7abaf6e
16308196,deposit,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,v3,uniswap,39974582212968359597,1397521249740547309340,58662309659663,8258538328628,0x065e3DbaFCb2C26A978720f9eB4Bce6aD9D644a1,205450,205460,2023-01-01T00:01:23Z,0xd206569ae3c6d66f294304fd1e8391731febc20b4c2d41a0c46fe997d7abaf6e
16308206,withdraw,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,v3,uniswap,39974582212968359597,0,100356224345624868975064,-26897516993630579715902,0x479Bc00624e58398f4Cf59D78884d12Fb515790A,205450,205460,2023-01-01T00:03:23Z,0x0c846cc998693d328b51b76a94af2be25366a838cf1e9dcfa3d94f2a89435c29
16308206,withdraw,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,v3,uniswap,39974582212968359597,0,58489610496708,-3266794805140,0x479Bc00624e58398f4Cf59D78884d12Fb515790A,205450,205460,2023-01-01T00:03:23Z,0x0c846cc998693d328b51b76a94af2be25366a838cf1e9dcfa3d94f2a89435c29
16308206,withdraw,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,v3,uniswap,39974582212968359597,-2049356176618044131188,100356224345624868975064,-26897467950266623195545,0x479Bc00624e58398f4Cf59D78884d12Fb515790A,205450,205460,2023-01-01T00:03:23Z,0x0c846cc998693d328b51b76a94af2be25366a838cf1e9dcfa3d94f2a89435c29
16308206,withdraw,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,v3,uniswap,39974582212968359597,-2049356176618044131188,58489610496708,-3266794805140,0x479Bc00624e58398f4Cf59D78884d12Fb515790A,205450,205460,2023-01-01T00:03:23Z,0x0c846cc998693d328b51b76a94af2be25366a838cf1e9dcfa3d94f2a89435c29
